,frame 0,frame 1,frame 2,frame 3,frame 4,frame 5,frame 6,frame 7,frame 8,frame 9,frame 10,frame 11,frame 12,frame 13,frame 14,frame 15,frame 16,frame 17,frame 18,frame 19,frame 20,frame 21,frame 22,frame 23,frame 24,frame 25,frame 26,frame 27,frame 28,frame 29,frame 30,frame 31,frame 32,frame 33,frame 34,frame 35,frame 36,frame 37,frame 38,frame 39,frame 40,frame 41,frame 42,frame 43,frame 44,frame 45,frame 46,frame 47,frame 48,frame 49,frame 50,frame 51,frame 52,frame 53,frame 54,frame 55,frame 56,frame 57,frame 58,frame 59
start1,178190.986016223,178240.661454007,178241.214902177,178241.429537426,178241.644793052,178241.847641921,178242.083625093,178242.345454716,178242.603695465,178242.880578772,178243.163633243,178243.359534943,178243.546350473,178243.775902893,178244.000652041,178244.2210623,178244.47667607,178244.741166475,178245.004981762,178245.200855232,178245.428600637,178245.682587552,178245.951769248,178246.215307342,178246.483399641,178246.71825227,178246.995790798,178247.297643403,178247.597224608,178247.90859412,178248.204529055,178248.538952202,178248.874586779,178249.230834369,178249.612367929,178249.959438098,178250.334478769,178250.68259052,178251.053200427,178251.359593017,178251.695815106,178252.028686398,178252.38352245,178252.740618182,178253.08113546,178253.44732882,178253.812354137,178254.153435957,178254.517070464,178254.725186886,178254.907241852,178255.16736915,178255.483985953,178255.790223384,178256.088280653,178256.431866429,178256.790061245,178257.1586958,178257.53023187,178257.914778876
start2,178190.986016223,178240.661454007,178241.214902177,178241.429537426,178241.644793052,178241.847641921,178242.083625093,178242.345454716,178242.603695465,178242.880578772,178243.163633243,178243.359534943,178243.546350473,178243.775902893,178244.000652041,178244.2210623,178244.47667607,178244.741166475,178245.004981762,178245.200855232,178245.428600637,178245.682587552,178245.951769248,178246.215307342,178246.483399641,178246.71825227,178246.995790798,178247.297643403,178247.597224608,178247.90859412,178248.204529055,178248.538952202,178248.874586779,178249.230834369,178249.612367929,178249.959438098,178250.334478769,178250.68259052,178251.053200427,178251.359593017,178251.695815106,178252.028686398,178252.38352245,178252.740618182,178253.08113546,178253.44732882,178253.812354137,178254.153435957,178254.517070464,178254.725186886,178254.907241852,178255.16736915,178255.483985953,178255.790223384,178256.088280653,178256.431866429,178256.790061245,178257.1586958,178257.53023187,178257.914778876
end1,178240.633220478,178241.214542118,178241.429203148,178241.644266583,178241.847368582,178242.083236179,178242.345102365,178242.603430095,178242.880314757,178243.163378082,178243.359258948,178243.546041821,178243.775599293,178244.000259637,178244.220768856,178244.476336428,178244.74082178,178245.004595713,178245.200550591,178245.428237453,178245.682230253,178245.95149018,178246.214977596,178246.483122917,178246.717973254,178246.995522095,178247.297323188,178247.596960072,178247.908287187,178248.204181756,178248.538659331,178248.874004892,178249.230560092,178249.611951515,178249.959142206,178250.334200795,178250.682325724,178251.052904692,178251.358955088,178251.690151347,178252.028348631,178252.383255934,178252.740237706,178253.080810506,178253.446960844,178253.811793292,178254.153007407,178254.516539672,178254.724798857,178254.906960441,178255.167112686,178255.483262449,178255.789876971,178256.087867936,178256.431488609,178256.789780823,178257.158425638,178257.529836394,178257.914506527,178258.16007265
end2,178240.633220478,178241.214542118,178241.429203148,178241.644266583,178241.847368582,178242.083236179,178242.345102365,178242.603430095,178242.880314757,178243.163378082,178243.359258948,178243.546041821,178243.775599293,178244.000259637,178244.220768856,178244.476336428,178244.74082178,178245.004595713,178245.200550591,178245.428237453,178245.682230253,178245.95149018,178246.214977596,178246.483122917,178246.717973254,178246.995522095,178247.297323188,178247.596960072,178247.908287187,178248.204181756,178248.538659331,178248.874004892,178249.230560092,178249.611951515,178249.959142206,178250.334200795,178250.682325724,178251.052904692,178251.358955088,178251.690151347,178252.028348631,178252.383255934,178252.740237706,178253.080810506,178253.446960844,178253.811793292,178254.153007407,178254.516539672,178254.724798857,178254.906960441,178255.167112686,178255.483262449,178255.789876971,178256.087867936,178256.431488609,178256.789780823,178257.158425638,178257.529836394,178257.914506527,178258.16007265
